"","Mark","JD","bd_load","log_bd_load"
"1",3,163,2468.932555,7.8119461235812
"2",11,163,7527.939837,8.92650951898276
"3",12,134,0,0
"4",12,190,0,0
"5",16,78,0,0
"6",19,163,31856.11867,10.369016142149
"7",20,162,494.7361934,6.20604391708773
"8",24,189,0,0
"9",34,163,40244.0966,10.6027434518231
"10",39,78,0,0
"11",41,163,38005.17677,10.5455039720782
"12",42,166,604.4796347,6.4060209285712
"13",44,190,115.8803158,4.76115046935529
"14",52,190,0,0
"15",60,190,411.8739562,6.02314235558181
"16",61,166,28255.7243,10.2490867365689
"17",68,141,17076.65034,9.74552588996354
"18",71,167,566.5873147,6.34139459602275
"19",71,187,0,0
"20",76,190,3055.907344,8.02515901197778
"21",77,139,13343.51961,9.49886106343872
"22",82,168,7584.580071,8.93400436492968
"23",92,166,573.1890975,6.35295878022004
"24",97,140,94.51961673,4.55933163717812
"25",102,162,10271.34481,9.23721059331806
"26",107,170,104763.4349,11.5594696316317
"27",111,141,63056.56336,11.0518032923271
"28",112,188,6951.051572,8.84679208521461
"29",113,69,0,0
"30",114,78,0,0
"31",116,163,7305.577219,8.89653021039373
"32",117,162,1365.628422,7.22010197973029
"33",120,188,101.6689001,4.63150924828962
"34",126,141,241897.2103,12.396272298059
"35",132,141,31084.13746,10.3444850887622
"36",133,141,12922.92898,9.46683583172657
"37",134,166,75897.50267,11.2371522355211
"38",138,141,434358.2592,12.9816272568316
"39",138,191,440.6187158,6.09044687585828
"40",145,163,80259.23593,11.293029583388
"41",146,138,320.5209125,5.77306258821853
"42",150,77,0,0
"43",151,99,0,0
"44",156,141,1004294.549,13.819796907429
"45",161,163,14689.21949,9.59493721051307
"46",164,166,228.7511706,5.43699685632619
"47",168,163,73055.77219,11.1989921191105
"48",169,76,0,0
"49",169,162,927.3324915,6.8333899568706
"50",176,163,3238.139494,8.08306298523996
"51",185,141,2957.56839,7.99246077829371
"52",190,163,913.5339139,6.81841455177972
"53",198,163,14840.13677,9.60515811553963
"54",200,167,6065.427298,8.71052512724473
"55",200,188,636.176452,6.45704662192302
"56",201,75,0,0
"57",206,163,278352.8308,12.5366483560461
"58",214,163,1527.100489,7.3317807326164
"59",223,139,316829.2696,12.6661214823378
"60",223,167,93367.3284,11.444307470351
"61",223,187,5882.255059,8.67986546918556
"62",228,163,1612.661656,7.3862611961232
"63",229,170,3916.195472,8.27313123591827
"64",229,191,47.58880365,3.88339312679344
"65",233,78,0,0
"66",236,163,447.5789859,6.10608477725284
"67",237,134,0,0
"68",239,75,0,0
"69",241,163,2068.061189,7.63485025149867
"70",242,162,166.9692448,5.12378089597784
"71",244,163,160.1709696,5.08246572452447
"72",253,163,101599.6425,11.5288051379254
"73",258,189,0,0
"74",259,78,0,0
"75",263,139,4870.425849,8.49114195535983
