Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,MassG,SVLmm,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4
SPR,1,5/13/2021,NOVI,D28,BYYYXR,M,,,35,Y,0,1802400503,pos,55436.64537,,"10.2c, code changed from BYxYxR",,0,,,,,,,,,,,,
SPR,1,5/11/2021,NOVI,D52,YXRBXB,M,,,31,Y,0,1802400974,pos,10935.90305,,"10.8c, may be duplicate, made up code",,0,,,,,,,,,,,,
SPR,1,5/21/2020,NOVI,D10,XORXXY,M,,,,Y,0,1802400398,pos,171.8170253,,"13.0 C, parasites, mark changed to xORxxY",1,0,,,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857
SPR,1,5/14/2021,NOVI,D14,[YR]X[OY]XBX,M,,,36,Y,0,1802400518,pos,14091.14859,,"13.6c, marked Y in spot 1 and 2 by accident. was RxOxBx",,0,,,,,,,,,,,,
SPR,1,6/10/2021,NOVI,T35,ROBBYY,M,,,35,Y,0,2100800027,pos,760.5288185,,"13.8c, messed up mark XROBXB, made new one up",,0,,,,,,,,,,,,
SPR,1,6/7/2021,NOVI,D28,YYBBRR,M,,,40,Y,0,2101600165,pos,43673.29919,,"17.6c, not sure if P6 is X or R; very faint",,0,,,,,,,,,,,,
SPR,1,5/19/2020,NOVI,D12,OOYORX,M,,,,Y,0,1802300352,pos,113.7677425,,"18.0 C, truplicate mark, changed to OOYORx",,0,,,11.42402727,10.87384751,9.010644372,9.220036364,6.685658117,18.9,19.75714286,13.88571429,17,11.5
SPR,1,5/24/2021,NOVI,D14,RBYORR,M,,,39,Y,0,2101600393,pos,772.5425751,,"18.0c, messed up mark, filled in random, check if duplicate",,0,,,,,,,,,,,,
SPR,1,5/4/2020,NOVI,D11,XXYRYR,M,,,,Y,0,1802300356,pos,5104.899286,,"19.0 C, check code in excel sheet",,0,,,11.57159924,8.51762013,6.898963312,7.495918939,,24.4,15.1,11.5,10.62857143,12.7
SPR,1,6/10/2021,NOVI,D52,XBYOXR,M,,,37,Y,0,2100800351,pos,6713.633672,,"22.1c, possible that the swabs for this individual and xBBBOR were switched",,0,,,,,,,,,,,,
