"","Site","SubSite","CaptureDate","Species","PondLocation","IndividualID","Sex","Age","MassG","SVLmm","BdSample","SwabLost","SwabID","BdResult","TargetCopies.swab","HgSampleID","Notes","potential_injury_effect","flagged","reason","dead","Temp","Temp_1w","Temp_2w","Temp_3w","Temp_4w","Air_Max","Air_Max1","Air_Max2","Air_Max3","Air_Max4","year","date","JD","n_meas","log_bd","temp"
"1","SPR",1,"5/21/2020","NOVI","D9","XOXBXX","M",NA,NA,NA,"Y",0,1802400119,"pos",382.6538335,"","14.3",NA,0,NA,NA,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857,2020,2020-05-21,141,6,5.94713075149923,11.9
"2","SPR",1,"6/2/2020","NOVI","D54","ROXXXR","M",NA,NA,NA,"Y",0,1802400910,"pos",3715.925471,"","10.9 C",NA,0,NA,NA,12.12670303,14.4471395,12.51176017,10.87384751,9.010644372,17.8,25.07142857,23.32857143,20.07142857,13.88571429,2020,2020-06-02,153,6,8.22038304348933,12.1
"3","SPR",1,"5/21/2020","NOVI","D11","XXRXXX","M",NA,NA,NA,"Y",0,1802400391,"pos",36657.06106,"","13.8 C",NA,0,NA,NA,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857,2020,2020-05-21,141,6,10.5093613506951,11.9
"4","SPR",1,"5/21/2020","NOVI","D11","YYYYYY","M",NA,NA,NA,"Y",0,1802400400,"pos",17393.74968,"","14.2 C, skin slough",NA,0,NA,NA,11.91412803,11.63443063,8.79622987,9.730171212,7.223845779,21.1,20.71428571,13.48571429,18.01428571,11.67142857,2020,2020-05-21,141,6,9.76386620687679,11.9
"5","SPR",1,"6/1/2020","NOVI","D54","ROXXXR","M",NA,NA,NA,"Y",0,1802401176,"neg",0,"","14.3 C",NA,0,NA,NA,12.91973561,14.39997857,12.3454671,10.43443474,9.470920238,18.9,25.7,23.01428571,19.75714286,14.98571429,2020,2020-06-01,152,6,-Inf,12.9
"6","SPR",1,"5/22/2020","NOVI","D11","XXRXXX","M",NA,NA,NA,"Y",0,1802401098,"pos",9109.359985,"","16.0 C",NA,0,NA,NA,13.07961591,11.90748268,8.876436472,9.975883117,7.463122511,25.6,21.98571429,14.6,17.84285714,12.31428571,2020,2020-05-22,142,6,9.11705773366971,13.1
"7","SPR",1,"6/3/2020","NOVI","D53","ROXXXR","M",NA,NA,NA,"Y",0,1802400934,"pos",5408.484496,"","16.3 C",NA,0,NA,NA,12.95346515,14.2462566,12.81302532,11.25332965,8.789591883,22.2,24.6,24.75714286,20.71428571,13.88571429,2020,2020-06-03,154,6,8.59572420246736,13
"8","SPR",1,"5/4/2020","NOVI","D8/9","XOXBXX","M",NA,NA,NA,"Y",0,1802300121,"pos",146.3925556,"","17.3 C",NA,0,NA,NA,11.57159924,8.51762013,6.898963312,7.495918939,NA,24.4,15.1,11.5,10.62857143,12.7,2020,2020-05-04,124,6,4.98629175050754,11.6
"9","SPR",1,"6/5/2020","NOVI","D52","ROXXXR","M",NA,NA,NA,"Y",0,1802401241,"pos",67964.84138,"","17.7 C",NA,0,NA,NA,15.4807947,13.94424935,13.64296061,11.90748268,8.876436472,32.2,23.25714286,25.77142857,22.47142857,14.6,2020,2020-06-05,156,6,11.1267458119183,15.5
"10","SPR",1,"5/19/2020","NOVI","D12","XOXBXX","M",NA,NA,NA,"Y",0,1802400009,"pos",7167.505919,"","18.0 C",NA,0,NA,NA,11.42402727,10.87384751,9.010644372,9.220036364,6.685658117,18.9,19.75714286,13.88571429,17,11.5,2020,2020-05-19,139,6,8.87731302356814,11.4
"11","SPR",1,"4/24/2020","NOVI","T2","YYYYYY","M",NA,NA,NA,"Y",0,1802200183,"pos",3336.699971,"","leech",1,0,NA,NA,6.515877273,6.581394913,7.457205952,NA,NA,10,10.15714286,10.87142857,NA,NA,2020,2020-04-24,114,6,8.11273756491003,6.5
